2022-10-20 02:24:31.369 |         b6fb2040 | 8009 | 3 |                0 | left =1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000
2022-10-20 02:24:31.370 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111111111111111111111111111111111111111111111111111111111111111100000000000000000001111111111
2022-10-20 02:24:31.370 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  25, count_left =   1, duty_right =  25, count_right =   1
2022-10-20 02:24:31.479 |         b6fb2040 | 8009 | 3 |                0 | left =0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2022-10-20 02:24:31.479 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111111111111111111111111111111111111111111111111000000000000000000111111111111111111111111111
2022-10-20 02:24:31.479 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  25, count_left =   0, duty_right =  25, count_right =   1
2022-10-20 02:24:31.588 |         b6fb2040 | 8009 | 3 |                0 | left =0000000000000011111111111111111111111111111111111111111111111111111111111111111110000000000000000000
2022-10-20 02:24:31.588 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111111111111111111100000000000000000001111111111111111111111111111111111111111111111111111111
2022-10-20 02:24:31.588 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  25, count_left =   1, duty_right =  25, count_right =   1
2022-10-20 02:24:31.697 |         b6fb2040 | 8009 | 3 |                0 | left =0000000000000000011111111111111111111111111111111110000000000000000000000111111111111111111111111111
2022-10-20 02:24:31.697 |         b6fb2040 | 8009 | 3 |                0 | right=1111111000000000000001111111111111111111111111111111111111111111111111111111111111111000000000000000
2022-10-20 02:24:31.697 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  25, count_left =   2, duty_right =  25, count_right =   2
2022-10-20 02:24:31.697 |         b6fb2040 | 8009 | 3 |            106b3 | ----------------------------------------------------------------------
2022-10-20 02:24:31.697 |         b6fb2040 | 8009 | 3 |            106b4 | duty_left =  25, count_left =   1, duty_right =  25, count_right =   1

2022-10-20 02:24:31.810 |         b6fb2040 | 8009 | 3 |                0 | left =1111111111111111111111111111111110000000000000000000000000000000000000000000111111111111111111111111
2022-10-20 02:24:31.810 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111111111111111111111111111111111111111000000001111111111111111111111111111100000001111111111
2022-10-20 02:24:31.810 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  50, count_left =   1, duty_right =  50, count_right =   2
2022-10-20 02:24:31.919 |         b6fb2040 | 8009 | 3 |                0 | left =1111110000000000000000000000000000000000001111111111111111111111110000000000000000000000000000000000
2022-10-20 02:24:31.919 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111111100000111111111111111111111111100000011111111111111111111111000001111111111111111111111
2022-10-20 02:24:31.919 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  50, count_left =   2, duty_right =  50, count_right =   3
2022-10-20 02:24:32.028 |         b6fb2040 | 8009 | 3 |                0 | left =0001111111111111111111111000000000000000000000000000000000011111111111111111111111111000000000000000
2022-10-20 02:24:32.028 |         b6fb2040 | 8009 | 3 |                0 | right=1100000011111111111111111111100000011111111111111111111111000000111111111111111111111000001111111111
2022-10-20 02:24:32.028 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  50, count_left =   2, duty_right =  50, count_right =   4
2022-10-20 02:24:32.137 |         b6fb2040 | 8009 | 3 |                0 | left =0000000000000000001111111111111111111111111000000000000000000000000000000000011111111111111111111111
2022-10-20 02:24:32.137 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111111110000001111111111111111111111000001111111111111111111111110000001111111111111111111111
2022-10-20 02:24:32.137 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  50, count_left =   2, duty_right =  50, count_right =   3
2022-10-20 02:24:32.137 |         b6fb2040 | 8009 | 3 |            106b3 | ----------------------------------------------------------------------
2022-10-20 02:24:32.137 |         b6fb2040 | 8009 | 3 |            106b4 | duty_left =  50, count_left =   2, duty_right =  50, count_right =   3

2022-10-20 02:24:32.250 |         b6fb2040 | 8009 | 3 |                0 | left =0000000000000000000000000000000001111111111111111111000000000000000000000000011111111111111000000000
2022-10-20 02:24:32.250 |         b6fb2040 | 8009 | 3 |                0 | right=0001111111111111111111111100000111111111111111111000011111111111111111100001111111111111100000111111
2022-10-20 02:24:32.251 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  75, count_left =   2, duty_right =  75, count_right =   5
2022-10-20 02:24:32.359 |         b6fb2040 | 8009 | 3 |                0 | left =0000000000000011111111111111110000000001111111000011111111111111111000000000000000000001111111111111
2022-10-20 02:24:32.360 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111000011111111111111000011111111111111000111111111111111100001111111111111110001111111111111
2022-10-20 02:24:32.360 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  75, count_left =   4, duty_right =  75, count_right =   5
2022-10-20 02:24:32.468 |         b6fb2040 | 8009 | 3 |                0 | left =1110000000000000000000111111111111111100000000000000000000000111111111111110000000000000000000011111
2022-10-20 02:24:32.469 |         b6fb2040 | 8009 | 3 |                0 | right=1100011111111111111100011111111111111100011111111111111100011111111111111100011111111111111100011111
2022-10-20 02:24:32.469 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  75, count_left =   3, duty_right =  75, count_right =   6
2022-10-20 02:24:32.578 |         b6fb2040 | 8009 | 3 |                0 | left =1111111111100000000000000000000011111111111111110000000000000000000001111111111111111100000000000000
2022-10-20 02:24:32.578 |         b6fb2040 | 8009 | 3 |                0 | right=1111111110001111111111111110001111111111111111000111111111111111000011111111111111100011111111111111
2022-10-20 02:24:32.578 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  75, count_left =   3, duty_right =  75, count_right =   5
